,Unnamed: 0,conversation_id,utterance_id,speaker,text,saliency,rich_text,Extracted text
38,38,742555640001,38,agent,"Yes, sir. As I can see here you have your email address here.",1,"Yes , sir . As I see email address .",Yes sir As I can see here you have your email address here
39,39,742555640001,39,agent,So.,0,So .,So
40,40,742555640001,40,agent,Hold on.,0,Hold .,Hold on
41,41,742555640001,41,agent,"Okay, so I already accessed it, sir. Anything else I can help you?",1,"Okay , I already accessed , sir . Anything else I help ?",Okay so I already accessed it sir Anything else I can help you
42,42,742555640001,42,customer,Nope. Thank you very much. You've been wonderful. Have a great day.,1,Nope . Thank much . You 've wonderful . Have great day .,Nope Thank you very much Youve been wonderful Have a great day
43,43,742555640001,43,agent,"Yes, you do, sir. Bye for now. Again, thank you for choosing Raven",0,"Yes , , sir . Bye . Again , thank choosing Raven",Yes you do sir Bye for now Again thank you for choosing Raven
44,44,742555640001,44,customer,You're welcome. Thank you guys very much.,0,You 're welcome . Thank guys much .,Youre welcome Thank you guys very much
45,45,742555640001,45,agent,"Okay, bye for now.",0,"Okay , bye .",Okay bye for now
46,46,742555640001,46,customer,Alright.,0,Alright .,Alright
47,47,742555640001,47,customer,Bye bye.,0,Bye bye .,Bye bye
48,48,742555640001,48,bot,issue auto wrapped up.,0,issue auto wrapped .,issue auto wrapped up
49,49,742560220001,0,agent,"Hi, thank you for choosing Raven. This is {first_name:*****}.. How can I help you today?",0,"Hi , thank choosing Raven . This { first_name : * * * * * } .. How I help today ?",Hi thank you for choosing Raven This is firstname How can I help you today
50,50,742560220001,1,customer,"Yes, hi. I had a I got a uh a call like about a week ago saying that if I call in, I can get a free three months of Superman",1,"Yes , hi . I I got uh call like week ago saying I call , I get free three months Superman",Yes hi I had a I got a uh a call like about a week ago saying that if I call in I can get a free three months of Superman
51,51,742560220001,2,customer,Superman and Thor to try it?,1,Superman Thor try ?,Superman and Thor to try it
52,52,742560220001,3,customer,"Says Superman, Thor, I think, Spiderman Batman, and it was Thor I could charge for three months.",1,"Says Superman , Thor , I think , Spiderman Batman , Thor I could charge three months .",Says Superman Thor I think Spiderman Batman and it was Thor I could charge for three months
53,53,742560220001,4,agent,"Uh free MO uh free for Superman, am I right, ma'am, okay? Let me try that one. May I have your name, please?",0,"Uh free MO uh free Superman , I right , ma'am , okay ? Let try one . May I name , please ?",Uh free MO uh free for Superman am I right maam okay Let me try that one May I have your name please
54,54,742560220001,5,customer,{first_name:*****}.,0,{ first_name : * * * * * } .,firstname
55,55,742560220001,6,customer,{last_name:*****}.,0,{ last_name : * * * * * } .,lastname
56,56,742560220001,7,agent,"Awesome. Thank you so much, sir, uh {first_name:*****}. your last name, please? Perfect, thank you so much for that. Let me check that one for you. Give me just a moment.",0,"Awesome . Thank much , sir , uh { first_name : * * * * * } . last name , please ? Perfect , thank much . Let check one . Give moment .",Awesome Thank you so much sir uh firstname your last name please Perfect thank you so much for that Let me check that one for you Give me just a moment
57,57,742560220001,8,agent,"Alright, so upon checking here into my end, {first_name:*****}., that we don't have already the HDMI.",1,"Alright , upon checking end , { first_name : * * * * * } . , n't already HDMI .",Alright so upon checking here into my end firstname that we dont have already the HDMI
58,58,742560220001,9,agent,seen here that you have uh the Superman eligible for $15 a month. Would that be fine to you.,1,seen uh Superman eligible $ 15 month . Would fine .,seen here that you have uh the Superman eligible for 15 a month Would that be fine to you
59,59,742560220001,10,customer,"No, they offered it for me to try it for three months for me being a a customer for over 10 years.",1,"No , offered try three months customer 10 years .",No they offered it for me to try it for three months for me being a a customer for over 10 years
60,60,742560220001,11,agent,three months. For how many uh free of charge. Am I right?,1,three months . For many uh free charge . Am I right ?,three months For how many uh free of charge Am I right
61,61,742560220001,12,customer,Cause I've been a customer for so many years.,1,Cause I 've customer many years .,Cause Ive been a customer for so many years
62,62,742560220001,13,agent,"Okay, okay. Let me check on the notes here.",0,"Okay , okay . Let check notes .",Okay okay Let me check on the notes here
63,63,742560220001,14,agent,me just a moment.,0,moment .,me just a moment
64,64,742560220001,15,agent,"Alright, I am trying to locate or check uh the informations the regarding with the Superman for three months, but I have seen here that we could give you the Spiderman for three months for uh no charge. Instead of it.",1,"Alright , I trying locate check uh informations regarding Superman three months , I seen could give Spiderman three months uh charge . Instead .",Alright I am trying to locate or check uh the informations the regarding with the Superman for three months but I have seen here that we could give you the Spiderman for three months for uh no charge Instead of it
65,65,742560220001,16,customer,Okay. Can I get Thor two to try Thor.,1,Okay . Can I get Thor two try Thor .,Okay Can I get Thor two to try Thor
66,66,742560220001,17,agent,"Because Superman, it was already um in a regular price, Superman, let me check. Now why and Thor is already in $7 in your.",1,"Because Superman , already um regular price , Superman , let check . Now Thor already $ 7 .",Because Superman it was already um in a regular price Superman let me check Now why and Thor is already in 7 in your
67,67,742560220001,18,customer,I don't get Thor,1,I n't get Thor,I dont get Thor
68,68,742560220001,19,agent,"System in your account, Y, and I'm sorry, um you are not have or in your account. I have seen here that we are not reconnected yet the Thor for 0.",1,"System account , Y , I 'm sorry , um not account . I seen not reconnected yet Thor 0 .",System in your account Y and Im sorry um you are not have or in your account I have seen here that we are not reconnected yet the Thor for 0
69,69,742560220001,20,customer,"And that's on Batman with that too, right? The Spiderman Thor",1,"And 's Batman , right ? The Spiderman Thor",And thats on Batman with that too right The Spiderman Thor
70,70,742560220001,21,agent,"dollars, but it will um come back or it is already in a regular price of $7 the only I could give it to you right now is the Thor I'm sorry. Yes, the Spiderman for three months for 0 uh dollar for 0 charges.",1,"dollars , um come back already regular price $ 7 I could give right Thor I 'm sorry . Yes , Spiderman three months 0 uh dollar 0 charges .",dollars but it will um come back or it is already in a regular price of 7 the only I could give it to you right now is the Thor Im sorry Yes the Spiderman for three months for 0 uh dollar for 0 charges
71,71,742560220001,22,customer,"Yes, I'd like to try both of those for three months.",1,"Yes , I 'd like try three months .",Yes Id like to try both of those for three months
72,72,742560220001,23,agent,"Al. Alright, I will give it to you the Superman and Thor for three months as as well, W, would you like to grab this opportunity. Um I'm sorry, {first_name:*****}?",1,"Al . Alright , I give Superman Thor three months well , W , would like grab opportunity . Um I 'm sorry , { first_name : * * * * * } ?",Al Alright I will give it to you the Superman and Thor for three months as as well W would you like to grab this opportunity Um Im sorry firstname
73,73,742560220001,24,customer,"Yeah, so that's the only movie channels you guys have right, that's available for free.",1,"Yeah , 's movie channels guys right , 's available free .",Yeah so thats the only movie channels you guys have right thats available for free
74,74,742560220001,25,customer,Okay.,0,Okay .,Okay
75,75,742560220001,26,agent,"Okay, yes. Alright. So only Superman Thor Am I right? Yes, that is that is correct. Okay, so let me process it for you. Give me just a moment.",1,"Okay , yes . Alright . So Superman Thor Am I right ? Yes , correct . Okay , let process . Give moment .",Okay yes Alright So only Superman Thor Am I right Yes that is that is correct Okay so let me process it for you Give me just a moment
76,76,742560220001,27,customer,Okay.,0,Okay .,Okay
77,77,742560220001,28,agent,"Uh last two weeks relaunched the Superman for $0. So right now we don't have it yet. So that much, probably that is the one that uh you check the website regarding with it. Give me just a moment, {first_name:*****}?",1,"Uh last two weeks relaunched Superman $ 0 . So right n't yet . So much , probably one uh check website regarding . Give moment , { first_name : * * * * * } ?",Uh last two weeks relaunched the Superman for 0 So right now we dont have it yet So that much probably that is the one that uh you check the website regarding with it Give me just a moment firstname
78,78,742560220001,29,agent,"Alright, {first_name:*****} I can definitely offer you also just uh the channel 30.",0,"Alright , { first_name : * * * * * } I definitely offer also uh channel 30 .",Alright firstname I can definitely offer you also just uh the channel 30
79,79,742560220001,30,customer,What is it?,0,What ?,What is it
80,80,742560220001,31,agent,"one month free of charge. This is about music channel. And you could have it, W uh for one month without any charges. Would you like to uh take advantage of it. Um channel 305.",0,"one month free charge . This music channel . And could , W uh one month without charges . Would like uh take advantage . Um channel 305 .",one month free of charge This is about music channel And you could have it W uh for one month without any charges Would you like to uh take advantage of it Um channel 305
81,81,742560220001,32,customer,"No, thank you.",0,"No , thank .",No thank you
82,82,742560220001,33,agent,"Um music channel. This is a relaxing music channel. Alright, I understand. Okay, so I'm going to send you a notification through your email regarding with your um package or premiums that you added that we added right now. And if you do have any further questions or.",1,"Um music channel . This relaxing music channel . Alright , I understand . Okay , I 'm going send notification email regarding um package premiums added added right . And questions .",Um music channel This is a relaxing music channel Alright I understand Okay so Im going to send you a notification through your email regarding with your um package or premiums that you added that we added right now And if you do have any further questions or
83,83,742560220001,34,customer,Thank.,0,Thank .,Thank
84,84,742560220001,35,customer,That's it. Thank you.,0,That 's . Thank .,Thats it Thank you
85,85,742560220001,36,agent,"Would you would like to check this kind of package or channel. Just me a visit uh your raven .com app. Okay, so that you can find everything about it. You're most welcome. Alright, will there be anything else that I can help you with, {first_name:*****}?",0,"Would would like check kind package channel . Just visit uh raven .com app . Okay , find everything . You 're welcome . Alright , anything else I help , { first_name : * * * * * } ?",Would you would like to check this kind of package or channel Just me a visit uh your raven com app Okay so that you can find everything about it Youre most welcome Alright will there be anything else that I can help you with firstname
86,86,742560220001,37,bot,issue auto wrapped up.,0,issue auto wrapped .,issue auto wrapped up
87,87,742563970001,0,agent,hello. Thank you for choosing Raven. This is {first_name:*****} I see that you're calling about um changing credit card. Is that right?,0,hello . Thank choosing Raven . This { first_name : * * * * * } I see 're calling um changing credit card . Is right ?,hello Thank you for choosing Raven This is firstname I see that youre calling about um changing credit card Is that right
88,88,742563970001,1,customer,"Yes, well, I had did it at the beginning of the month because we had a compromised and I couldn't in our.",1,"Yes , well , I beginning month compromised I could n't .",Yes well I had did it at the beginning of the month because we had a compromised and I couldnt in our
89,89,742563970001,2,customer,"Uh credit card. And when I got my number. I went online and changed it. So that Raven could take out our you know payment every month, but I just got a notification that says Raven account is past due and I was just trying to see what was going on.",1,"Uh credit card . And I got number . I went online changed . So Raven could take know payment every month , I got notification says Raven account past due I trying see going .",Uh credit card And when I got my number I went online and changed it So that Raven could take out our you know payment every month but I just got a notification that says Raven account is past due and I was just trying to see what was going on
90,90,742563970001,3,agent,"Oh, I see.",0,"Oh , I see .",Oh I see
91,91,742563970001,4,agent,Yeah.,0,Yeah .,Yeah
92,92,742563970001,5,agent,"Do you have a past due, if you're on on autopay.",1,"Do past due , 're autopay .",Do you have a past due if youre on on autopay
93,93,742563970001,6,customer,"Right, and I had CO?",0,"Right , I CO ?",Right and I had CO
94,94,742563970001,7,agent,"Yeah, that's kind of ridiculous.",0,"Yeah , 's kind ridiculous .",Yeah thats kind of ridiculous
95,95,742563970001,8,agent,mhm. Let me just further check here what is happening.,1,mhm . Let check happening .,mhm Let me just further check here what is happening
96,96,742563970001,9,customer,"Okay, thank you.",0,"Okay , thank .",Okay thank you
97,97,742563970001,10,agent,"And we do apologize for the inconvenience. Maybe there is something um you know glitch in our system, something about that.",1,"And apologize inconvenience . Maybe something um know glitch system , something .",And we do apologize for the inconvenience Maybe there is something um you know glitch in our system something about that
98,98,742563970001,11,customer,Okay.,0,Okay .,Okay
99,99,742563970001,12,agent,"mhm. Again, we do apologize. We we do apologize for the inconvenience.",1,"mhm . Again , apologize . We apologize inconvenience .",mhm Again we do apologize We we do apologize for the inconvenience
100,100,742563970001,13,customer,Okay.,0,Okay .,Okay
101,101,742563970001,14,agent,"Mm {voice.creditcard.digitsTranscribed:###} moment. Um let me just look. What are the possible options that I have could offer here to you, okay? Please stay on the line, please stay on the line for me for me?",1,"Mm { voice.creditcard.digitsTranscribed : # # # } moment . Um let look . What possible options I could offer , okay ? Please stay line , please stay line ?",Mm voicecreditcarddigitsTranscribed moment Um let me just look What are the possible options that I have could offer here to you okay Please stay on the line please stay on the line for me for me
102,102,742563970001,15,customer,Alright.,0,Alright .,Alright
103,103,742563970001,16,customer,I.,0,I .,I
104,104,742563970001,17,customer,"Normal, hold.",0,"Normal , hold .",Normal hold
105,105,742563970001,18,customer,"Yes, ma'am.",0,"Yes , ma'am .",Yes maam
106,106,742563970001,19,agent,"Hi, thank you for patiently waiting. So um upon checking here, I think there is an um system error with regarding with our um with our autopay. So um have you contacted your.",1,"Hi , thank patiently waiting . So um upon checking , I think um system error regarding um autopay . So um contacted .",Hi thank you for patiently waiting So um upon checking here I think there is an um system error with regarding with our um with our autopay So um have you contacted your
107,107,742563970001,20,agent,Um your bank with this {voice.creditcard.digitsTranscribed:###} because as per checking here on. Let me just check here on June {voice.creditcard.digitsTranscribed:###} um your last credit card wasn't able to um.,1,Um bank { voice.creditcard.digitsTranscribed : # # # } per checking . Let check June { voice.creditcard.digitsTranscribed : # # # } um last credit card n't able um .,Um your bank with this voicecreditcarddigitsTranscribed because as per checking here on Let me just check here on June voicecreditcarddigitsTranscribed um your last credit card wasnt able to um
108,108,742563970001,21,customer,"mhm yes, um I had like.",0,"mhm yes , um I like .",mhm yes um I had like
109,109,742563970001,22,agent,"to respond with the payment. So it's um failed due to card decline your response, and then you a mhm. Go on.",1,"respond payment . So 's um failed due card decline response , mhm . Go .",to respond with the payment So its um failed due to card decline your response and then you a mhm Go on
110,110,742563970001,23,customer,"Yeah, the card that y'all had on file. Previously ended in, but I had it was compromised, so I had to get a new credit card.",1,"Yeah , card y'all file . Previously ended , I compromised , I get new credit card .",Yeah the card that yall had on file Previously ended in but I had it was compromised so I had to get a new credit card
111,111,742563970001,24,customer,I went online and you know got put in a new credit card number and um.,1,I went online know got put new credit card number um .,I went online and you know got put in a new credit card number and um
112,112,742563970001,25,customer,"I just I mean, I have my credit card here. If if there's any way that you could put that in for the autopay for me.",1,"I I mean , I credit card . If 's way could put autopay .",I just I mean I have my credit card here If if theres any way that you could put that in for the autopay for me
113,113,742563970001,26,agent,"Um actually, we can do it manually, but um I'm afraid I cannot um process this {voice.creditcard.digitsTranscribed:### ###} you since um I don't want to like um have some system error like um double charges you know that, so I think uh it's.",1,"Um actually , manually , um I 'm afraid I not um process { voice.creditcard.digitsTranscribed : # # # # # # } since um I n't want like um system error like um double charges know , I think uh 's .",Um actually we can do it manually but um Im afraid I cannot um process this voicecreditcarddigitsTranscribed  you since um I dont want to like um have some system error like um double charges you know that so I think uh its
114,114,742563970001,27,customer,"Yeah, mhm.",0,"Yeah , mhm .",Yeah mhm
115,115,742563970001,28,agent,It's best for you to wait for this {voice.creditcard.digitsTranscribed:###} since you just recently updated your credit card.,1,It 's best wait { voice.creditcard.digitsTranscribed : # # # } since recently updated credit card .,Its best for you to wait for this voicecreditcarddigitsTranscribed since you just recently updated your credit card
116,116,742563970001,29,customer,"Okay, so it will take it out, eventually.",1,"Okay , take , eventually .",Okay so it will take it out eventually
117,117,742563970001,30,customer,"Okay, alright.",0,"Okay , alright .",Okay alright
118,118,742563970001,31,agent,"Yeah, yeah, the actually the system will try to collect the payment for this {voice.creditcard.digitsTranscribed:###}, automatically, so um I just want to set your proper expectation that you still have a {voice.creditcard.digitsTranscribed:#####} days remaining for the um soft disconnect.",1,"Yeah , yeah , actually system try collect payment { voice.creditcard.digitsTranscribed : # # # } , automatically , um I want set proper expectation still { voice.creditcard.digitsTranscribed : # # # # # } days remaining um soft disconnect .",Yeah yeah the actually the system will try to collect the payment for this voicecreditcarddigitsTranscribed automatically so um I just want to set your proper expectation that you still have a voicecreditcarddigitsTranscribed days remaining for the um soft disconnect
119,119,742563970001,32,customer,Okay.,0,Okay .,Okay
120,120,742563970001,33,customer,"But it should be taken out by then, though.",1,"But taken , though .",But it should be taken out by then though
121,121,742563970001,34,agent,"You know, mhm. So yeah, exactly.",0,"You know , mhm . So yeah , exactly .",You know mhm So yeah exactly
122,122,742563970001,35,customer,Okay.,0,Okay .,Okay
123,123,742563970001,36,agent,"So um is there anything else, where um where regarding with this {voice.creditcard.digitsTranscribed:###}, is there anything else beside this {voice.creditcard.digitsTranscribed:###}.",0,"So um anything else , um regarding { voice.creditcard.digitsTranscribed : # # # } , anything else beside { voice.creditcard.digitsTranscribed : # # # } .",So um is there anything else where um where regarding with this voicecreditcarddigitsTranscribed is there anything else beside this voicecreditcarddigitsTranscribed
124,124,742563970001,37,customer,"No, ma'am, or y'all we y'all send me a confirmation of the payment.",1,"No , ma'am , y'all y'all send confirmation payment .",No maam or yall we yall send me a confirmation of the payment
125,125,742563970001,38,agent,"I'm sorry, come again?",0,"I 'm sorry , come ?",Im sorry come again
126,126,742563970001,39,customer,Will y'all send a confirmation of the payment when it does come off the credit card.,1,Will y'all send confirmation payment come credit card .,Will yall send a confirmation of the payment when it does come off the credit card
127,127,742563970001,40,agent,"Yes, exactly.",1,"Yes , exactly .",Yes exactly
128,128,742563970001,41,customer,Okay.,0,Okay .,Okay
129,129,742563970001,42,agent,Once the system. Once the system will um C.,1,Once system . Once system um C .,Once the system Once the system will um C
130,130,742563970001,43,agent,"Um credited the balance of this um bill, it will be automatically sent a message to you.",1,"Um credited balance um bill , automatically sent message .",Um credited the balance of this um bill it will be automatically sent a message to you
131,131,742563970001,44,customer,"Okay, that sounds good. Well, I appreciate your time.",1,"Okay , sounds good . Well , I appreciate time .",Okay that sounds good Well I appreciate your time
132,132,742563970001,45,customer,"Yeah, I understand.",0,"Yeah , I understand .",Yeah I understand
133,133,742563970001,46,agent,"mhm yeah. And again, on behalf of our company. We do apologize for the system error, this is something we cannot control sometimes since you know, mhm. And um also, if you want to change anything on your programming, you can.",0,"mhm yeah . And , behalf company . We apologize system error , something not control sometimes since know , mhm . And um also , want change anything programming , .",mhm yeah And again on behalf of our company We do apologize for the system error this is something we cannot control sometimes since you know mhm And um also if you want to change anything on your programming you can
134,134,742563970001,47,customer,Okay.,0,Okay .,Okay
135,135,742563970001,48,agent,"actually go to raven .com slash my programming, okay? And upon checking here, I see that you are eligible for our promotion which is the gallery channel {voice.creditcard.digitsTranscribed:### ###} month free. And uh Hulk {voice.creditcard.digitsTranscribed:### ###} month free, you should give it a try.",0,"actually go raven .com slash programming , okay ? And upon checking , I see eligible promotion gallery channel { voice.creditcard.digitsTranscribed : # # # # # # } month free . And uh Hulk { voice.creditcard.digitsTranscribed : # # # # # # } month free , give try .",actually go to raven com slash my programming okay And upon checking here I see that you are eligible for our promotion which is the gallery channel voicecreditcarddigitsTranscribed  month free And uh Hulk voicecreditcarddigitsTranscribed  month free you should give it a try
136,136,742563970001,49,customer,"Okay, no. Thank you. I'm good right now. But I appreciate it.",0,"Okay , . Thank . I 'm good right . But I appreciate .",Okay no Thank you Im good right now But I appreciate it
137,137,742563970001,50,agent,No worries. And um is there anything else I can help you with besides with this concern.,0,No worries . And um anything else I help besides concern .,No worries And um is there anything else I can help you with besides with this concern
138,138,742563970001,51,customer,That is it.,0,That .,That is it
139,139,742563970001,52,customer,Bye bye.,0,Bye bye .,Bye bye
140,140,742563970001,53,bot,issue auto wrapped up.,0,issue auto wrapped .,issue auto wrapped up
141,141,742564160001,0,agent,"Hi, welcome to Raven. This is {first_name:*****} speaking. Can I have your name?",0,"Hi , welcome Raven . This { first_name : * * * * * } speaking . Can I name ?",Hi welcome to Raven This is firstname speaking Can I have your name
142,142,742564160001,1,customer,"Yes, my name is {first_name:*****}",0,"Yes , name { first_name : * * * * * }",Yes my name is firstname
143,143,742564160001,2,customer,"Uh yes, I need to unlock a phone.",1,"Uh yes , I need unlock phone .",Uh yes I need to unlock a phone
144,144,742564160001,3,agent,"Hello, good evening, {first_name:*****}, and how can I help you?",0,"Hello , good evening , { first_name : * * * * * } , I help ?",Hello good evening firstname and how can I help you
145,145,742564160001,4,agent,"mhm okay. So uh where did you buy, where did you bought the phone.",1,"mhm okay . So uh buy , bought phone .",mhm okay So uh where did you buy where did you bought the phone
146,146,742564160001,5,customer,I bought it on the Raven wireless setup.,1,I bought Raven wireless setup .,I bought it on the Raven wireless setup
147,147,742564160001,6,agent,"Oh, okay, so it is unlocked with Raven are you trying to port out your accou your number?",1,"Oh , okay , unlocked Raven trying port accou number ?",Oh okay so it is unlocked with Raven are you trying to port out your accou your number
148,148,742564160001,7,customer,"Um S, no, what it is is I bought a phone, and then I'd.",1,"Um S , , I bought phone , I 'd .",Um S no what it is is I bought a phone and then Id
149,149,742564160001,8,customer,"tried to add a line, but then the person that was helping me with it said I had to replace a line, and I didn't want that. Um but it was already partway through the activation process, and now the phone's locked.",1,"tried add line , person helping said I replace line , I n't want . Um already partway activation process , phone 's locked .",tried to add a line but then the person that was helping me with it said I had to replace a line and I didnt want that Um but it was already partway through the activation process and now the phones locked
150,150,742564160001,9,customer,"Yes, um, J.",0,"Yes , um , J .",Yes um J
151,151,742564160001,10,agent,"Oh, alright? Okay, I see. Can I have the email address?",0,"Oh , alright ? Okay , I see . Can I email address ?",Oh alright Okay I see Can I have the email address
152,152,742564160001,11,customer,{email:*****}.,0,{ email : * * * * * } .,email
153,153,742564160001,12,customer,{email:*****}.,0,{ email : * * * * * } .,email
154,154,742564160001,13,agent,{email:*****}.,0,{ email : * * * * * } .,email
155,155,742564160001,14,customer,{email:*****}.,0,{ email : * * * * * } .,email
156,156,742564160001,15,agent,{email:*****}.,0,{ email : * * * * * } .,email
157,157,742564160001,16,customer,"Yes, ma'am.",0,"Yes , ma'am .",Yes maam
158,158,742564160001,17,agent,"Mm okay, just a moment.",0,"Mm okay , moment .",Mm okay just a moment
159,159,742564160001,18,customer,Okay.,0,Okay .,Okay
160,160,742564160001,19,customer,So this isn't the phone that is currently on there. It's the new one. I tried to purchase so I still want that line on that account to remain fine with the with the motor home phone on it.,1,So n't phone currently . It 's new one . I tried purchase I still want line account remain fine motor home phone .,So this isnt the phone that is currently on there Its the new one I tried to purchase so I still want that line on that account to remain fine with the with the motor home phone on it
161,161,742564160001,20,agent,"Mm okay, so so can I have the phone number?",1,"Mm okay , I phone number ?",Mm okay so so can I have the phone number
162,162,742564160001,21,customer,Like telephone number?,1,Like telephone number ?,Like telephone number
163,163,742564160001,22,agent,"Yes, the phone number that is associated with this account that we are trying to activate.",1,"Yes , phone number associated account trying activate .",Yes the phone number that is associated with this account that we are trying to activate
164,164,742564160001,23,customer,Um.,0,Um .,Um
165,165,742564160001,24,customer,I'm sorry. I thought this was gonna.,0,I 'm sorry . I thought gon na .,Im sorry I thought this was gonna
166,166,742564160001,25,agent,"uhhuh. No worries for that. Um okay, so uh which phone number you want to activate with a new device.",1,"uhhuh . No worries . Um okay , uh phone number want activate new device .",uhhuh No worries for that Um okay so uh which phone number you want to activate with a new device
167,167,742564160001,26,customer,So I didn't have a phone number?,1,So I n't phone number ?,So I didnt have a phone number
168,168,742564160001,27,agent,"Oh, okay, you didn't have a phone number yet. So uh did you receive a SIM card?",1,"Oh , okay , n't phone number yet . So uh receive SIM card ?",Oh okay you didnt have a phone number yet So uh did you receive a SIM card
169,169,742564160001,28,customer,"Yeah, I did.",1,"Yeah , I .",Yeah I did
